../../../pdielec -processors 4 -matrix ptfe -sigma 5 -plate 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -optical_tensor 2.3471 0 0.0786 0 2.3942 0 0.0786 0 2.2621 -csv command.csv -masses program LEUCINE_FREQUENCY_PBED3_631Gdp_FULLOPTIMIZATON.out -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
 225, 2982.03,         5.533033,               23380.383548,  2976.8829,     5.0
 226, 2982.51,         0.214736,                 907.387924,   115.5322,     5.0
 227, 2983.35,         0.920294,                3888.795826,   495.1369,     5.0
 228, 2983.36,         1.755898,                7419.721751,   944.7083,     5.0
 229, 2989.45,        16.119848,               68116.028144,  8672.8021,     5.0
 230, 2990.75,         0.327397,                1383.447057,   176.1460,     5.0
 231, 2991.27,        25.508305,              107787.891883, 13723.9806,     5.0
 232, 2993.51,        37.431772,              158171.695123, 20139.0457,     5.0
 233, 2993.60,        50.546050,              213587.388153, 27194.7909,     5.0
 234, 2997.59,         1.449390,                6124.542655,   779.8010,     5.0
 235, 2997.73,         1.780055,                7521.800410,   957.7054,     5.0
 236, 3038.18,         5.093544,               21523.278971,  2740.4290,     5.0
 237, 3038.37,         5.943656,               25115.510835,  3197.8062,     5.0
 238, 3040.99,         0.023130,                  97.738476,    12.4444,     5.0
 239, 3041.01,         2.133193,                9014.020835,  1147.7008,     5.0
 240, 3042.56,         0.476949,                2015.395930,   256.6082,     5.0
 241, 3043.05,         1.507827,                6371.474410,   811.2413,     5.0
 242, 3054.48,         6.297256,               26609.684778,  3388.0503,     5.0
 243, 3054.82,         0.329649,                1392.966452,   177.3580,     5.0
 244, 3056.51,        10.009035,               42294.176815,  5385.0618,     5.0
 245, 3056.61,         4.305184,               18191.984139,  2316.2754,     5.0
 246, 3056.79,         1.784683,                7541.356483,   960.1953,     5.0
 247, 3057.55,         0.572093,                2417.436955,   307.7976,     5.0
 248, 3061.00,         2.633120,               11126.511765,  1416.6715,     5.0
 249, 3061.59,         0.582449,                2461.197321,   313.3694,     5.0
 250, 3063.30,         2.639049,               11151.566628,  1419.8616,     5.0
