../../../pdielec -matrix ptfe -sigma 5 -needle 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -LO 1 1 1 -csv command1.csv -masses program -program qe phonon.dynG
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
 452, 2704.28,        83.498071,              352829.449918, 44923.6408,     5.0
 454, 2717.16,        84.940035,              358922.611487, 45699.4462,     5.0
 455, 2724.89,         3.015417,               12741.944544,  1622.3548,     5.0
 456, 2917.28,         5.995087,               25332.840100,  3225.4774,     5.0
 458, 2917.52,         1.814183,                7666.011717,   976.0669,     5.0
 459, 2917.55,         0.721756,                3049.852922,   388.3193,     5.0
 460, 2960.87,         0.035082,                 148.243814,    18.8750,     5.0
 461, 2961.00,         0.476849,                2014.971547,   256.5541,     5.0
 462, 2961.02,         0.040159,                 169.695221,    21.6063,     5.0
 465, 2965.82,         2.721641,               11500.564530,  1464.2974,     5.0
 466, 2967.00,         2.784559,               11766.433147,  1498.1488,     5.0
 467, 2967.25,         2.810028,               11874.053558,  1511.8515,     5.0
 468, 2975.28,         0.023828,                 100.688002,    12.8200,     5.0
 469, 2975.28,         0.000000,                   0.000000,     0.0000,     5.0
 470, 2975.53,         2.552730,               10786.817354,  1373.4202,     5.0
 471, 2975.82,         3.306159,               13970.503589,  1778.7798,     5.0
 472, 2996.43,         0.367333,                1552.200346,   197.6323,     5.0
 474, 2996.53,         0.000899,                   3.799305,     0.4837,     5.0
 475, 2996.73,         1.317248,                5566.163445,   708.7059,     5.0
 476, 3000.19,         1.061312,                4484.677879,   571.0069,     5.0
 478, 3000.34,         0.004039,                  17.065748,     2.1729,     5.0
 479, 3000.35,         0.279408,                1180.664749,   150.3269,     5.0
 481, 3000.96,         0.004125,                  17.432287,     2.2195,     5.0
 482, 3000.98,         0.026514,                 112.035858,    14.2648,     5.0
 483, 3001.00,         0.559209,                2362.993523,   300.8657,     5.0
 484, 3027.81,         0.001786,                   7.546168,     0.9608,     5.0
 486, 3027.92,         0.030719,                 129.807417,    16.5276,     5.0
 487, 3028.02,         0.007020,                  29.661890,     3.7767,     5.0
 488, 3034.04,         0.352279,                1488.590848,   189.5333,     5.0
 490, 3034.33,         0.033537,                 141.715864,    18.0438,     5.0
 491, 3034.38,         0.026755,                 113.057160,    14.3949,     5.0
 492, 3045.02,         0.047048,                 198.806197,    25.3128,     5.0
 493, 3045.08,         0.030189,                 127.568059,    16.2425,     5.0
 495, 3045.26,         0.113841,                 481.044755,    61.2485,     5.0
 496, 3057.78,         0.185996,                 785.943703,   100.0695,     5.0
 498, 3057.83,         0.244075,                1031.361571,   131.3170,     5.0
 499, 3057.83,         0.038976,                 164.696591,    20.9698,     5.0
 500, 3068.12,         1.986361,                8393.567819,  1068.7022,     5.0
 501, 3068.33,         0.020254,                  85.586897,    10.8973,     5.0
 503, 3068.53,         2.930195,               12381.832809,  1576.5039,     5.0
 505, 3069.89,         1.387320,                5862.260113,   746.4061,     5.0
 506, 3070.49,         2.738337,               11571.118412,  1473.2806,     5.0
 507, 3070.54,         0.003832,                  16.191598,     2.0616,     5.0
 508, 3071.78,         0.286732,                1211.613995,   154.2675,     5.0
