../../../pdielec -processors 4 -size 0 -size 0.1 -size 1 -size 3 -vmin 300 -vmax 800 -sphere -method maxwell -sigma 10 -csv command1.csv phonon -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,  388.28,         9.290771,               39259.082853,  2499.3108,    10.0
   4,  388.28,         9.290771,               39259.082853,  2499.3108,    10.0
   5,  388.28,         9.290771,               39259.082853,  2499.3108,    10.0
,,,,,,cm-1,thz,maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/0.1mu),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/1mu),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/3mu),maxwell_sphere_real_dielectric(vf=0.1),maxwell_sphere_real_dielectric(vf=0.1/0.1mu),maxwell_sphere_real_dielectric(vf=0.1/1mu),maxwell_sphere_real_dielectric(vf=0.1/3mu),maxwell_sphere_imag_dielectric(vf=0.1),maxwell_sphere_imag_dielectric(vf=0.1/0.1mu),maxwell_sphere_imag_dielectric(vf=0.1/1mu),maxwell_sphere_imag_dielectric(vf=0.1/3mu),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1/0.1mu),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1/1mu),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1/3mu)
,,,,,,  312.400000,    9.365516,          0.42454700,          0.42459848,          0.38938338,          0.83182529,          2.50356250,          2.50362221,          2.50955303,          2.55698884,          0.00683306,          0.00683397,          0.00627459,         -0.01353031,          3.68137976,          3.68182623,          3.37646502,          7.21301720
,,,,,,  312.600000,    9.371512,          0.42564000,          0.42569174,          0.39035622,          0.83550102,          2.50383579,          2.50389564,          2.50984059,          2.55738985,          0.00684664,          0.00684755,          0.00628661,         -0.01358247,          3.69085752,          3.69130624,          3.38490090,          7.24489063
,,,,,,  312.800000,    9.377508,          0.42673617,          0.42678818,          0.39133186,          0.83919200,          2.50410962,          2.50416962,          2.51012872,          2.55779176,          0.00686026,          0.00686118,          0.00629865,         -0.01363482,          3.70036281,          3.70081380,          3.39336092,          7.27689626
,,,,,,  313.000000,    9.383504,          0.42783554,          0.42788781,          0.39231029,          0.84289829,          2.50438400,          2.50444414,          2.51041744,          2.55819456,          0.00687391,          0.00687484,          0.00631073,         -0.01368736,          3.70989574,          3.71034900,          3.40184518,          7.30903467
,,,,,,  313.200000,    9.389500,          0.42893810,          0.42899063,          0.39329152,          0.84661996,          2.50465893,          2.50471921,          2.51070675,          2.55859826,          0.00688761,          0.00688853,          0.00632283,         -0.01374010,          3.71945640,          3.71991195,          3.41035376,          7.34130645
,,,,,,  313.400000,    9.395496,          0.43004387,          0.43009667,          0.39427557,          0.85035709,          2.50493440,          2.50499482,          2.51099664,          2.55900287,          0.00690133,          0.00690226,          0.00633498,         -0.01379304,          3.72904489,          3.72950275,          3.41888676,          7.37371221
,,,,,,  313.600000,    9.401491,          0.43115287,          0.43120593,          0.39526245,          0.85410973,          2.50521042,          2.50527099,          2.51128711,          2.55940839,          0.00691510,          0.00691603,          0.00634715,         -0.01384617,          3.73866133,          3.73912150,          3.42744427,          7.40625255
,,,,,,  313.800000,    9.407487,          0.43226509,          0.43231843,          0.39625216,          0.85787796,          2.50548699,          2.50554770,          2.51157818,          2.55981481,          0.00692890,          0.00692984,          0.00635935,         -0.01389950,          3.74830580,          3.74876830,          3.43602638,          7.43892808
,,,,,,  314.000000,    9.413483,          0.43338057,          0.43343417,          0.39724472,          0.86166185,          2.50576411,          2.50582497,          2.51186984,          2.56022215,          0.00694274,          0.00694368,          0.00637159,         -0.01395302,          3.75797843,          3.75844326,          3.44463317,          7.47173939
,,,,,,  314.200000,    9.419479,          0.43449930,          0.43455318,          0.39824014,          0.86546148,          2.50604179,          2.50610279,          2.51216209,          2.56063040,          0.00695662,          0.00695757,          0.00638387,         -0.01400675,          3.76767930,          3.76814649,          3.45326475,          7.50468711
,,,,,,  314.400000,    9.425475,          0.43562130,          0.43567545,          0.39923842,          0.86927690,          2.50632002,          2.50638116,          2.51245494,          2.56103958,          0.00697053,          0.00697148,          0.00639617,         -0.01406067,          3.77740852,          3.77787808,          3.46192121,          7.53777184
