../../../../pdielec -processors 4 -vmin 300 -vmax 800 -matrix ptfe -sigma 5 -sphere -needle 0 0 1 -plate 1 0 0 -csv command1.csv -masses program -hessian crystal -program crystal ZnO_CPHF.out -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   6,  373.28,        16.258071,               68700.105030,  8747.1690,     5.0
   7,  398.07,        15.468640,               65364.283764,  8322.4391,     5.0
   8,  398.07,        15.468640,               65364.283764,  8322.4391,     5.0
,,,,,,cm-1,thz,maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_sphere_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),maxwell_sphere_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1)
,,,,,,  313.400000,    9.395496,          0.56323837,          3.60007347,          4.61777256,          2.46389960,          2.90461991,          3.19796696,          0.00349169,          0.02423216,          0.03261426,          1.90233857,         12.15925428,         15.59653468
,,,,,,  313.600000,    9.401491,          0.56503684,          3.62478202,          4.64719284,          2.46417916,          2.90655825,          3.20057632,          0.00350081,          0.02439105,          0.03281450,          1.90841288,         12.24270745,         15.69590172
,,,,,,  313.800000,    9.407487,          0.56684233,          3.64973213,          4.67687964,          2.46445945,          2.90850928,          3.20320169,          0.00350996,          0.02455153,          0.03301662,          1.91451092,         12.32697649,         15.79616894
,,,,,,  314.000000,    9.413483,          0.56865487,          3.67492695,          4.70683622,          2.46474047,          2.91047313,          3.20584319,          0.00351914,          0.02471361,          0.03322063,          1.92063280,         12.41207202,         15.89734733
,,,,,,  314.200000,    9.419479,          0.57047451,          3.70036967,          4.73706588,          2.46502223,          2.91244991,          3.20850100,          0.00352835,          0.02487732,          0.03342656,          1.92677863,         12.49800485,         15.99944808
,,,,,,  314.400000,    9.425475,          0.57230128,          3.72606354,          4.76757200,          2.46530472,          2.91443977,          3.21117525,          0.00353760,          0.02504267,          0.03363443,          1.93294855,         12.58478594,         16.10248254
,,,,,,  314.600000,    9.431471,          0.57413521,          3.75201186,          4.79835798,          2.46558796,          2.91644282,          3.21386610,          0.00354689,          0.02520970,          0.03384428,          1.93914266,         12.67242645,         16.20646224
,,,,,,  314.800000,    9.437467,          0.57597635,          3.77821800,          4.82942729,          2.46587194,          2.91845921,          3.21657372,          0.00355620,          0.02537842,          0.03405612,          1.94536110,         12.76093772,         16.31139891
,,,,,,  315.000000,    9.443462,          0.57782472,          3.80468536,          4.86078346,          2.46615666,          2.92048907,          3.21929825,          0.00356556,          0.02554886,          0.03426998,          1.95160398,         12.85033128,         16.41730443
,,,,,,  315.200000,    9.449458,          0.57968037,          3.83141741,          4.89243007,          2.46644214,          2.92253253,          3.22203986,          0.00357494,          0.02572104,          0.03448589,          1.95787143,         12.94061884,         16.52419089
,,,,,,  315.400000,    9.455454,          0.58154333,          3.85841769,          4.92437075,          2.46672836,          2.92458974,          3.22479872,          0.00358437,          0.02589499,          0.03470388,          1.96416358,         13.03181232,         16.63207058
